"GOV","Level of government","TAX","Tax revenue","VAR","Indicator","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","2004","2004","USD","US Dollar","9","Billions",,,208.621,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","2005","2005","USD","US Dollar","9","Billions",,,225.719,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","2006","2006","USD","US Dollar","9","Billions",,,252.625,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","2007","2007","USD","US Dollar","9","Billions",,,289.86,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","2008","2008","USD","US Dollar","9","Billions",,,271.886,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","2009","2009","USD","US Dollar","9","Billions",,,279.257,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","2010","2010","USD","US Dollar","9","Billions",,,346.463,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","2011","2011","USD","US Dollar","9","Billions",,,399.797,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","2012","2012","USD","US Dollar","9","Billions",,,411.598,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","2013","2013","USD","US Dollar","9","Billions",,,401.892,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","2014","2014","USD","US Dollar","9","Billions",,,361.522,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","2015","2015","USD","US Dollar","9","Billions",,,344.314,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","2016","2016","USD","US Dollar","9","Billions",,,365.268,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","2017","2017","USD","US Dollar","9","Billions",,,397.957,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","2018","2018","USD","US Dollar","9","Billions",,,401.214,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","2019","2019","USD","US Dollar","9","Billions",,,379.582,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUS","Australia","2020","2020","USD","US Dollar","9","Billions",,,424.22,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","1979","1979","USD","US Dollar","9","Billions",,,37.487,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","1980","1980","USD","US Dollar","9","Billions",,,41.355,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","1981","1981","USD","US Dollar","9","Billions",,,36.29,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","1982","1982","USD","US Dollar","9","Billions",,,33.143,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","1983","1983","USD","US Dollar","9","Billions",,,31.899,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","1984","1984","USD","US Dollar","9","Billions",,,30.923,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","1985","1985","USD","US Dollar","9","Billions",,,31.914,,
"NES","Total","TOTALTAX","Total tax revenue","TAXUSD","Total tax revenue in USD","AUT","Austria","1986","1986","USD","US Dollar","9","Billions",,,43.499,,
